ID,u1,u2,u3,u4,u5,u6
356,0.0,0.0,0.0,-0.35,0.0,0.25
357,0.0,0.0,0.0,-0.35,0.3,-0.25
358,0.0,0.0,0.0,-0.35,0.3,0.0
359,0.0,0.0,0.0,-0.35,0.3,0.25
360,0.0,0.0,0.0,0.0,-0.3,-0.25
361,0.0,0.0,0.0,0.0,-0.3,0.0
362,0.0,0.0,0.0,0.0,-0.3,0.25
363,0.0,0.0,0.0,0.0,0.0,-0.25
364,0.0,0.0,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0,0.0,0.25
366,0.0,0.0,0.0,0.0,0.3,-0.25
367,0.0,0.0,0.0,0.0,0.3,0.0
368,0.0,0.0,0.0,0.0,0.3,0.25
369,0.0,0.0,0.0,0.35,-0.3,-0.25
370,0.0,0.0,0.0,0.35,-0.3,0.0
371,0.0,0.0,0.0,0.35,-0.3,0.25
372,0.0,0.0,0.0,0.35,0.0,-0.25
373,0.0,0.0,0.0,0.35,0.0,0.0
374,0.0,0.0,0.0,0.35,0.0,0.25
375,0.0,0.0,0.0,0.35,0.3,-0.25
376,0.0,0.0,0.0,0.35,0.3,0.0
377,0.0,0.0,0.0,0.35,0.3,0.25
378,0.0,0.0,0.25,-0.35,-0.3,-0.25
379,0.0,0.0,0.25,-0.35,-0.3,0.0
380,0.0,0.0,0.25,-0.35,-0.3,0.25
381,0.0,0.0,0.25,-0.35,0.0,-0.25
382,0.0,0.0,0.25,-0.35,0.0,0.0
383,0.0,0.0,0.25,-0.35,0.0,0.25
384,0.0,0.0,0.25,-0.35,0.3,-0.25
385,0.0,0.0,0.25,-0.35,0.3,0.0
386,0.0,0.0,0.25,-0.35,0.3,0.25
387,0.0,0.0,0.25,0.0,-0.3,-0.25
388,0.0,0.0,0.25,0.0,-0.3,0.0
389,0.0,0.0,0.25,0.0,-0.3,0.25
390,0.0,0.0,0.25,0.0,0.0,-0.25
391,0.0,0.0,0.25,0.0,0.0,0.0
392,0.0,0.0,0.25,0.0,0.0,0.25
393,0.0,0.0,0.25,0.0,0.3,-0.25
394,0.0,0.0,0.25,0.0,0.3,0.0
395,0.0,0.0,0.25,0.0,0.3,0.25
396,0.0,0.0,0.25,0.35,-0.3,-0.25
397,0.0,0.0,0.25,0.35,-0.3,0.0
398,0.0,0.0,0.25,0.35,-0.3,0.25
399,0.0,0.0,0.25,0.35,0.0,-0.25
400,0.0,0.0,0.25,0.35,0.0,0.0
401,0.0,0.0,0.25,0.35,0.0,0.25
402,0.0,0.0,0.25,0.35,0.3,-0.25
403,0.0,0.0,0.25,0.35,0.3,0.0
404,0.0,0.0,0.25,0.35,0.3,0.25
405,0.0,0.3,-0.25,-0.35,-0.3,-0.25
406,0.0,0.3,-0.25,-0.35,-0.3,0.0
407,0.0,0.3,-0.25,-0.35,-0.3,0.25
408,0.0,0.3,-0.25,-0.35,0.0,-0.25
409,0.0,0.3,-0.25,-0.35,0.0,0.0
410,0.0,0.3,-0.25,-0.35,0.0,0.25
411,0.0,0.3,-0.25,-0.35,0.3,-0.25
412,0.0,0.3,-0.25,-0.35,0.3,0.0
413,0.0,0.3,-0.25,-0.35,0.3,0.25
414,0.0,0.3,-0.25,0.0,-0.3,-0.25
415,0.0,0.3,-0.25,0.0,-0.3,0.0
416,0.0,0.3,-0.25,0.0,-0.3,0.25
417,0.0,0.3,-0.25,0.0,0.0,-0.25
418,0.0,0.3,-0.25,0.0,0.0,0.0
419,0.0,0.3,-0.25,0.0,0.0,0.25
420,0.0,0.3,-0.25,0.0,0.3,-0.25
421,0.0,0.3,-0.25,0.0,0.3,0.0
422,0.0,0.3,-0.25,0.0,0.3,0.25
423,0.0,0.3,-0.25,0.35,-0.3,-0.25
424,0.0,0.3,-0.25,0.35,-0.3,0.0
425,0.0,0.3,-0.25,0.35,-0.3,0.25
426,0.0,0.3,-0.25,0.35,0.0,-0.25
427,0.0,0.3,-0.25,0.35,0.0,0.0
428,0.0,0.3,-0.25,0.35,0.0,0.25
429,0.0,0.3,-0.25,0.35,0.3,-0.25
430,0.0,0.3,-0.25,0.35,0.3,0.0
431,0.0,0.3,-0.25,0.35,0.3,0.25
432,0.0,0.3,0.0,-0.35,-0.3,-0.25
433,0.0,0.3,0.0,-0.35,-0.3,0.0
434,0.0,0.3,0.0,-0.35,-0.3,0.25
435,0.0,0.3,0.0,-0.35,0.0,-0.25
436,0.0,0.3,0.0,-0.35,0.0,0.0
437,0.0,0.3,0.0,-0.35,0.0,0.25
438,0.0,0.3,0.0,-0.35,0.3,-0.25
439,0.0,0.3,0.0,-0.35,0.3,0.0
440,0.0,0.3,0.0,-0.35,0.3,0.25
441,0.0,0.3,0.0,0.0,-0.3,-0.25
442,0.0,0.3,0.0,0.0,-0.3,0.0
443,0.0,0.3,0.0,0.0,-0.3,0.25
444,0.0,0.3,0.0,0.0,0.0,-0.25
445,0.0,0.3,0.0,0.0,0.0,0.0
446,0.0,0.3,0.0,0.0,0.0,0.25
447,0.0,0.3,0.0,0.0,0.3,-0.25
448,0.0,0.3,0.0,0.0,0.3,0.0
449,0.0,0.3,0.0,0.0,0.3,0.25
450,0.0,0.3,0.0,0.35,-0.3,-0.25
451,0.0,0.3,0.0,0.35,-0.3,0.0
452,0.0,0.3,0.0,0.35,-0.3,0.25
453,0.0,0.3,0.0,0.35,0.0,-0.25
454,0.0,0.3,0.0,0.35,0.0,0.0
455,0.0,0.3,0.0,0.35,0.0,0.25
456,0.0,0.3,0.0,0.35,0.3,-0.25
457,0.0,0.3,0.0,0.35,0.3,0.0
458,0.0,0.3,0.0,0.35,0.3,0.25
459,0.0,0.3,0.25,-0.35,-0.3,-0.25
460,0.0,0.3,0.25,-0.35,-0.3,0.0
461,0.0,0.3,0.25,-0.35,-0.3,0.25
462,0.0,0.3,0.25,-0.35,0.0,-0.25
463,0.0,0.3,0.25,-0.35,0.0,0.0
464,0.0,0.3,0.25,-0.35,0.0,0.25
465,0.0,0.3,0.25,-0.35,0.3,-0.25
466,0.0,0.3,0.25,-0.35,0.3,0.0
467,0.0,0.3,0.25,-0.35,0.3,0.25
468,0.0,0.3,0.25,0.0,-0.3,-0.25
469,0.0,0.3,0.25,0.0,-0.3,0.0
470,0.0,0.3,0.25,0.0,-0.3,0.25
471,0.0,0.3,0.25,0.0,0.0,-0.25
472,0.0,0.3,0.25,0.0,0.0,0.0
473,0.0,0.3,0.25,0.0,0.0,0.25
474,0.0,0.3,0.25,0.0,0.3,-0.25
475,0.0,0.3,0.25,0.0,0.3,0.0
476,0.0,0.3,0.25,0.0,0.3,0.25
477,0.0,0.3,0.25,0.35,-0.3,-0.25
478,0.0,0.3,0.25,0.35,-0.3,0.0
479,0.0,0.3,0.25,0.35,-0.3,0.25
480,0.0,0.3,0.25,0.35,0.0,-0.25
481,0.0,0.3,0.25,0.35,0.0,0.0
482,0.0,0.3,0.25,0.35,0.0,0.25
483,0.0,0.3,0.25,0.35,0.3,-0.25
484,0.0,0.3,0.25,0.35,0.3,0.0
485,0.0,0.3,0.25,0.35,0.3,0.25
486,0.35,-0.3,-0.25,-0.35,-0.3,-0.25
487,0.35,-0.3,-0.25,-0.35,-0.3,0.0
488,0.35,-0.3,-0.25,-0.35,-0.3,0.25
489,0.35,-0.3,-0.25,-0.35,0.0,-0.25
490,0.35,-0.3,-0.25,-0.35,0.0,0.0
491,0.35,-0.3,-0.25,-0.35,0.0,0.25
